NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 253 GTMIN    35.99  8 2022  8 2022  
 253 GTMIN    35.62  9 2022  9 2022  
 253 GTMIN    35.99 10 2022 11 2022  
 253 GTMIN    35.35 12 2022 12 2022  
 253 IPTER     0.00  1 2023  2 2023  
 253 GTMIN    35.99  1 2023  2 2023  
 253 IPTER     3.23  3 2023  3 2023  
 253 GTMIN    35.35  3 2023  3 2023  
 253 IPTER     0.00  4 2023  4 2023  
 253 GTMIN    35.99  4 2023  4 2023  
 253 IPTER     1.61  5 2023  5 2023  
 253 GTMIN    35.94  5 2023  5 2023  
 253 IPTER     5.00  6 2023  6 2023  
 253 GTMIN    34.71  6 2023  6 2023  
 253 IPTER     0.00  7 2023  7 2023  
 253 GTMIN    35.99  7 2023  7 2023  
 253 IPTER     1.61  8 2023  8 2023  
 253 GTMIN    35.94  8 2023  8 2023  
 253 IPTER     1.67  9 2023  9 2023  
 253 GTMIN    35.92  9 2023  9 2023  
 253 IPTER     0.00 10 2023 10 2023  
 253 GTMIN    35.99 10 2023 10 2023  
 253 IPTER     2.50 11 2023 11 2023  
 253 GTMIN    35.62 11 2023 11 2023  
 253 IPTER     0.81 12 2023 12 2023  
 253 GTMIN    35.99 12 2023  1 2024  
 253 IPTER     0.00  1 2024  1 2024  
 253 IPTER     2.59  2 2024  2 2024  
 253 GTMIN    35.59  2 2024  2 2024  
 253 IPTER     0.81  3 2024  3 2024  
 253 GTMIN    35.99  3 2024  4 2024  
 253 IPTER     0.00  4 2024  4 2024  
 253 IPTER    12.90  5 2024  5 2024  
 253 GTMIN    31.82  5 2024  5 2024  
 253 IPTER    13.33  6 2024  6 2024  
 253 GTMIN    31.66  6 2024  6 2024  
 253 IPTER    12.90  7 2024  7 2024  
 253 GTMIN    31.82  7 2024  7 2024  
 253 IPTER    10.48  8 2024  8 2024  
 253 GTMIN    32.70  8 2024  8 2024  
 253 IPTER     4.17  9 2024  9 2024  
 253 GTMIN    35.01  9 2024  9 2024  
 253 IPTER     0.81 10 2024 10 2024  
