dates;SE;S;NE;N
1958-12-01;38696.21;11030.41;5030.7;6001.8
1959-01-01;76391.94;5737.33;10976.83;18624.16
1959-02-01;65800.56;7841.54;11364.62;27592.51
1959-03-01;69211.62;4664.46;10174.8;29779.12
1959-04-01;53673.01;7666.55;8758.47;28644.52
1959-05-01;35985.78;8034.76;4204.25;22444.41
1959-06-01;27479.94;7472.32;3412.23;11394.8
1959-07-01;20674.81;5115.12;3083.63;5879.84
1959-08-01;18020.1;6479.94;2741.13;3226.06
1959-09-01;14519.37;10768.33;2485.83;2273.33
1959-10-01;17042.72;7326.83;2780.61;1721.24
1959-11-01;28319.51;3162.55;4825.56;2937.31
1959-12-01;35343.39;2482.05;7859.88;6160.1
1960-01-01;60924.11;2393.64;10527.36;8981.85
1960-02-01;72907.32;4358.23;17500.83;20699.47
1960-03-01;77371.43;3673.96;27171.06;27334.67
1960-04-01;53545.95;3883.12;21510.73;30254.11
1960-05-01;40636.54;3447.84;7981.23;22531.32
1960-06-01;31313.7;5997.88;5560.06;13298.69
1960-07-01;24602.81;3903.52;4329.41;5450.47
1960-08-01;20438.99;13163.27;3652.24;3084.41
1960-09-01;15992.88;13857.69;3071.26;2058.4
1960-10-01;18954.89;11882.6;2743.84;1850.69
1960-11-01;31073.09;11777.75;3242.68;4461.53
1960-12-01;49655.15;5250.42;11833.49;8927
1961-01-01;82575.38;5019.27;16758.14;15878.71
1961-02-01;87744.04;4785.68;22582.84;28138.69
1961-03-01;90554.28;15979.53;19169.74;29654.21
1961-04-01;60891.35;9746.01;11080.56;18065.22
1961-05-01;49128.93;6907.68;6994.62;13933.84
1961-06-01;34379.17;8418.5;5299.8;8246.47
1961-07-01;25701.72;6350.46;4291.74;4904.95
1961-08-01;19986.71;3585.51;3600.59;2911.79
1961-09-01;17061.32;20809.11;3024.97;1899.86
1961-10-01;16342.46;21777.35;2626.85;1416.93
1961-11-01;26051.57;18615.41;3169.11;2640.76
1961-12-01;34443.87;8580.36;4531.1;4366.25
1962-01-01;57371.15;4663.38;10390.97;8426.28
1962-02-01;74547.49;5430.6;15886.97;14679.08
1962-03-01;72759.93;6557.79;13224.09;20454.49
1962-04-01;47988.41;3394.65;10135.28;24070.23
1962-05-01;35668.78;4631.32;6055.99;15640.32
1962-06-01;28930.12;4110.94;4451.18;6950.76
1962-07-01;21407.73;4608.61;3768.15;3751.78
1962-08-01;17675.42;3206.5;3111.38;3099.5
1962-09-01;17850.2;9158.34;2497.04;1979.01
1962-10-01;26823.56;11056.31;3275.96;1843.87
1962-11-01;28738.59;5866.7;5604.48;3292.42
1962-12-01;59698.15;3114.37;8813.81;7107.78
1963-01-01;75038.6;5393.82;16220.55;16280.19
1963-02-01;71101.12;11790.01;19399.97;20392.93
1963-03-01;54248.03;10805.88;11242.34;24229.14
1963-04-01;40512.25;6526.78;5218.29;17049.95
1963-05-01;29808.03;3257.1;4376.32;16147.18
1963-06-01;23864.26;2423.94;3345.19;8815.76
1963-07-01;18964.48;2243.3;2937.59;4813.19
1963-08-01;15392.92;5819.56;2676.78;2915.92
1963-09-01;12901.24;7642.22;2370.76;2014.66
1963-10-01;14766.8;21864.95;2119.07;1479.24
1963-11-01;23880.39;19846.27;2727.85;2152.08
1963-12-01;20950.85;9589.09;4180.03;3745.23
1964-01-01;46315.07;3412.69;12536.21;22449.55
1964-02-01;70702.91;4758.54;24150.39;31227.24
1964-03-01;49165.49;3567.91;17471.35;30584.94
1964-04-01;39516.19;6106.99;8949.56;28675.35
1964-05-01;31427.78;6799.3;5325.22;22394.41
1964-06-01;23651.2;5637.84;3670.16;15390.8
1964-07-01;19986.36;6536.88;3138.45;5343.66
1964-08-01;15958.93;10798.25;2891.99;3097.04
1964-09-01;12927.51;12750.43;2296.49;2069.39
1964-10-01;21444.56;7517.16;2607.04;2656.94
1964-11-01;31405.69;4239.04;7918.99;4391.32
1964-12-01;47058.74;3963.39;12564.12;9718.32
1965-01-01;73757.74;3437.98;15283.71;12053.87
1965-02-01;90977.67;4511.27;14772.38;21224.88
1965-03-01;97763.04;4218.6;15878.4;25286.2
1965-04-01;64746.17;3647.74;17973.04;31181.04
1965-05-01;54904.95;13988.57;9062.54;24238.77
1965-06-01;36969.75;5799.54;5562.41;11072.88
1965-07-01;31754.78;14094.51;4491.27;5349.99
1965-08-01;24146.91;20453.76;3846.87;3301
1965-09-01;18946.92;20991.49;3200.15;2646.87
1965-10-01;33803.96;18481.94;4006.19;2551.31
1965-11-01;39994.05;11008.99;7756.21;3932.06
1965-12-01;60646.21;15328.17;12002.93;8699.06
1966-01-01;82397.8;10634.72;12386.72;10560.4
1966-02-01;90732.02;20923.35;17830.96;20417.96
1966-03-01;84604.67;13173.79;19400.54;22395.81
1966-04-01;57922.02;5400.97;14443.52;26970.79
1966-05-01;43008.08;3552.01;7981.88;21279.87
1966-06-01;32361.38;8470.03;5747.18;10245
1966-07-01;26225.49;9562.6;4619.18;5535.55
1966-08-01;20938.17;8968.94;4071.16;3220.79
1966-09-01;19701.46;17299.17;3509.61;2216.15
